Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
I.U.T. Reims-Châlons-Charleville - site de Châlons;Marne;Grand-Est;Reims;Châlons-en-Champagne;BUT - Carrières sociales parcours villes et territoires durables;28;212;126;15;91.0
Lycée polyvalent SCHNEIDER ELECTRIC;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;24;111;57;24;56.0
Lycée des métiers CFA Heinrich-Nessel;Bas-Rhin;Grand-Est;Strasbourg;Haguenau;Certificat de Spécialisation - Techn. en énergies renouvelables opt. b énergie thermique;10;37;16;10;100.0
LPO LYCEE DES METIERS ALGOUD - LAFFEMAS;Drôme;Auvergne-Rhône-Alpes;Grenoble;Valence;BTS - Services - Services informatiques aux organisations;32;363;153;31;50.0
Ecole Universitaire de premier cycle - Campus de Sceaux Université Paris-Saclay;Hauts-de-Seine;Ile-de-France;Versailles;Sceaux;Licence - Double diplôme - Licence Droit - Parcours Langues et Civilisations - option Chinois et Anglais;15;147;55;15;40.0
Université de Bretagne Sud - Site de Lorient;Morbihan;Bretagne;Rennes;Lorient;Licence - Portail Langues étrangères appliquées - LEA Anglais-Espagnol;115;505;411;67;100.0
Lycée Saint-Exupéry;Haute-Garonne;Occitanie;Toulouse;Blagnac;Certificat de Spécialisation - Aéronautique option avions à moteurs à turbines;9;125;27;8;21.0
Lycée Jean XXIII;Moselle;Grand-Est;Nancy-Metz;Montigny-lès-Metz;Formation d'ingénieur Bac + 5 - bac STI2D;2;37;12;1;53.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Sciences sociales;115;1389;821;147;99.0
Université Grenoble Alpes;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Licence - Sciences sociales - Parcours Sciences Humaines Appliquées (SHA);110;1025;746;107;87.0
LPO Louis De Foix;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Bayonne;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;131;125;17;100.0
EBI;Val-d'oise;Ile-de-France;Versailles;Cergy;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;120;2371;1707;117;83.0
Université Paris 8;Seine-Saint-Denis;Ile-de-France;Créteil;Saint-Denis;Licence - Mathématiques;50;1134;520;54;58.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Double licence - Economie / Histoire - Economie - Histoire;30;906;168;30;25.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Double licence - Géographie et aménagement / Histoire - Géographie - Histoire;20;449;81;19;22.0
Université de Montpellier;Hérault;Occitanie;Montpellier;Montpellier;Licence - Portail Economie - Economie (Faculté d'Economie);370;3893;2510;361;71.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Double licence - Droit / Géographie et aménagement - Droit - Géographie;30;499;83;30;19.0
LGT PRIVE SAINT-FRANCOIS D'ASSISE;Vendée;Pays-de-la-Loire;Nantes;La Roche-sur-Yon;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens;15;35;33;5;100.0
Lycée AMEP;Martinique;Martinique;Martinique;Fort-de-France;BTS - Services - Négociation et digitalisation de la Relation Client;20;90;79;12;100.0
Lycée Polyvalent les Bourdonnieres;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Gestion des transports et logistique associée;35;492;134;36;46.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;15;313;50;16;24.0
Lycée Edouard Branly;Somme;Hauts-de-France;Amiens;Amiens;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens;15;189;49;13;37.0
ESIEA Paris;Val-de-Marne;Ile-de-France;Créteil;Ivry-sur-Seine;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;112;3480;2638;109;90.0
Institut d'études politiques de Fontainebleau - UPEC;Seine-et-Marne;Ile-de-France;Créteil;Fontainebleau;Licence - Portail Science politique - Parcours Science politique;75;1727;331;75;22.0
L.P.A. La Cazotte;Aveyron;Occitanie;Toulouse;Saint-Affrique;BTS - Agricole - productions animales;30;446;196;27;77.0
Université Sorbonne Nouvelle Paris 3;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Allemand Etudes germaniques - Mineures Anglais OU Enseignement et pédagogie;33;162;152;30;95.0
INSTITUT NATIONAL DES FORMATIONS NOTARIALES - Site de Toulouse;Haute-Garonne;Occitanie;Toulouse;Toulouse;BTS - Services - Collaborateur juriste notarial;22;365;99;12;33.0
Lycée Notre Dame;Eure-et-Loir;Centre;Orléans-Tours;Chartres;BTS - Services - Communication;23;159;65;20;45.0
Lycée Guy De Maupassant;Seine-Maritime;Normandie;Normandie;Fécamp;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens;9;85;34;8;56.0
Lycée Raymond Naves;Haute-Garonne;Occitanie;Toulouse;Toulouse;BTS - Services - Commerce International;24;2222;164;23;13.0
Lycée Antoine Bourdelle;Tarn-et-Garonne;Occitanie;Toulouse;Montauban;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;12;324;67;15;40.0
Lycée Charles Carnus;Aveyron;Occitanie;Toulouse;Rodez;BTS - Production - Etude et réalisation d'agencement;12;290;54;18;22.0
Lycée LPO Anatole FRANCE;Hauts-de-Seine;Ile-de-France;Versailles;Colombes;BTS - Services - Métiers des Services à l'environnement;30;222;83;13;67.0
Lycée professionnel agricole du Robert;Martinique;Martinique;Martinique;Le Robert;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques;19;67;44;12;98.0
Lycée professionnel des métiers du bâtiment et de la topographie;Tarn-et-Garonne;Occitanie;Toulouse;Beaumont-de-Lomagne;BTS - Production - Métiers du géomètre-topographe et de la modélisation numérique;15;281;56;14;36.0
Lycée Auguste Behal;Pas-de-Calais;Hauts-de-France;Lille;Lens;BTS - Services - Service et prestation des secteurs sanitaire et social;30;409;161;24;55.0
LEGTA Edgard PISANI de Tulle-Naves;Corrèze;Nouvelle Aquitaine;Limoges;Naves;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;19;127;74;14;100.0
Lycée Saint-Cricq;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;10;279;65;14;52.0
Lycée Guillaume Budé;Val-de-Marne;Ile-de-France;Créteil;Limeil-Brévannes;BTS - Services - Economie sociale familiale;24;451;101;17;28.0
Lycée Fulgence Bienvenue;Côtes-d'Armor;Bretagne;Rennes;Loudéac;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens;14;100;59;8;93.0
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);Val-de-Marne;Ile-de-France;Créteil;Créteil;Licence - Administration et Echanges internationaux - Parcours International Business;90;3050;520;89;23.0
LPO LYCEE DES METIERS ALGOUD - LAFFEMAS;Drôme;Auvergne-Rhône-Alpes;Grenoble;Valence;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;15;335;75;16;36.0
Lycée RACINE;Paris;Ile-de-France;Paris;Paris  8e  Arrondissement;BTS - Services - Banque;24;1723;162;24;18.0
Lycée professionnel Thomas Edison;Isère;Auvergne-Rhône-Alpes;Grenoble;Echirolles;Certificat de Spécialisation - Technicien(ne) ascensoriste (service et modernisation);15;44;20;5;87.0
Université de Bordeaux - Bordeaux Métropole;Gironde;Nouvelle Aquitaine;Bordeaux;Talence;C.M.I - Cursus Master en Ingénierie - Sciences pour l'ingénieur - Cursus Master En Ingénierie (CMI)  - Mécanique, génie civil et énergétique (MGCE);20;674;95;18;18.0
Lycée professionnel Jean-Baptiste Colbert;Seine-Maritime;Normandie;Normandie;Le Petit-Quevilly;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;15;25;24;6;100.0
Lycée professionnel Lavoisier;Seine-Maritime;Normandie;Normandie;Le Havre;BTS - Production - Maintenance des véhicules option voitures particulières;10;117;50;11;55.0
Polytech Orléans;Loiret;Centre;Orléans-Tours;Orléans;Formation d'ingénieur Bac + 5 - Bac général;150;9269;5489;154;66.0
L.P.A. de Mirande;Gers;Occitanie;Toulouse;Mirande;BTS - Services - Conseil et commercialisation de solutions techniques;12;75;54;7;96.0
Université de Pau et des pays de l'Adour - Collège SSH (Pau);Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;Licence - Langues étrangères appliquées - Parcours Anglais, Espagnol - langues de spécialité;105;726;547;95;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Economie et gestion - Parcours International;39;1917;307;39;23.0
Université Paris Panthéon Assas;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Licence - Information et communication;65;3141;168;65;6.0
Université de Limoges - Antenne de Brive;Corrèze;Nouvelle Aquitaine;Limoges;Brive-la-Gaillarde;DEUST - Animation et gestion des activités physiques, sportives ou culturelles;25;322;71;24;28.0
Université Bordeaux Montaigne;Gironde;Nouvelle Aquitaine;Bordeaux;Pessac;Licence - Philosophie - Parcours Licence 1 Anglais-philosophie;40;341;240;39;99.0
Lycée La Fayette;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;15;217;56;13;29.0
EGC Nîmes;Gard;Occitanie;Montpellier;Nîmes;Formation des écoles de commerce et de management Bac + 3;30;100;70;20;81.0
Université Savoie Mont Blanc - Bourget-du-Lac;Savoie;Auvergne-Rhône-Alpes;Grenoble;Le Bourget-du-Lac;C.M.I - Cursus Master en Ingénierie - Sciences de la terre - Cursus Master en Ingénierie (CMI) 1er cycle Ingénierie en Géosciences;15;149;50;7;51.0
I.U.T. de Haguenau;Bas-Rhin;Grand-Est;Strasbourg;Haguenau;BUT - Génie électrique et informatique industrielle - Parcours Franco-Suisse-Allemand (Triple Diplôme);14;75;20;7;35.0
Université Jean Moulin Lyon 3;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion et Management;10;336;38;7;23.0
Lycée professionnel Heinlex;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BTS - Production - Pilotage des procédés;10;62;34;9;69.0
Campus Sainte Marguerite;Indre-et-Loire;Centre;Orléans-Tours;Chambray-lès-Tours;BTS - Services - Commerce International;40;480;157;39;35.0
Lycée professionnel GUY DEBEYRE;Nord;Hauts-de-France;Lille;Dunkerque;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;35;211;131;27;77.0
Université de Perpignan Via Domitia;Pyrénées-orientales;Occitanie;Montpellier;Perpignan;Licence - Lettres - Parcours  Théâtre;6;99;18;6;28.0
Lycée Le Likès;Finistère;Bretagne;Rennes;Quimper;BTS - Production - Management économique de la construction;15;137;38;16;39.0
Lycée Napoleon;Orne;Normandie;Normandie;L'Aigle;BTS - Production - Conception de produits industriels;6;64;33;4;96.0
Lycée Sacre Coeur;Côtes-d'Armor;Bretagne;Rennes;Saint-Brieuc;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;16;47;32;7;86.0
Lycée professionnel Jules Verne;Côtes-d'Armor;Bretagne;Rennes;Guingamp;Certificat de Spécialisation - Technicien(ne) en soudage;15;63;30;8;74.0
Lycée polyvalent Charles de Gaulle;Haute-Garonne;Occitanie;Toulouse;Muret;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;14;232;59;15;34.0
Lycée Jean De Prades;Tarn-et-Garonne;Occitanie;Toulouse;Castelsarrasin;BTS - Services - Management en hôtellerie restauration;12;106;46;12;85.0
Lycée Joseph-Marie Carriat;Ain;Auvergne-Rhône-Alpes;Lyon;Bourg-en-Bresse;BTS - Production - Conception de produits industriels;13;219;98;13;73.0
Lycée professionnel agricole Louis Mallet;Cantal;Auvergne-Rhône-Alpes;Clermont-Ferrand;Saint-Flour;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson;16;30;30;4;100.0
Lycée Cité scolaire du nord;Mayotte;Mayotte;Mayotte;Mtsamboro;BTS - Services - Gestion de la PME;35;851;117;35;22.0
Ecole Nationale De Commerce;Paris;Ile-de-France;Paris;Paris 17e  Arrondissement;BTS - Services - Assurance;35;1043;133;34;18.0
Lycée Saint-Louis;Drôme;Auvergne-Rhône-Alpes;Grenoble;Crest;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;38;27;2;90.0
Polytech Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Formation d'ingénieur Bac + 5 - Bac général;96;9620;4249;94;60.0
Lycée professionnel Isnelle Amelin;La Réunion;Réunion;La Réunion;Sainte-Marie;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;12;301;39;11;15.0
Lycée de Bois d'Olive;La Réunion;Réunion;La Réunion;Saint-Pierre;BTS - Production - Management économique de la construction;15;151;55;12;54.0
Lycée professionnel de St Henri;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille 16e  Arrondissement;Certificat de Spécialisation - Techn. en énergies renouvelables opt. a énergie électrique;15;37;10;3;39.0
Université de Mulhouse - Site de Colmar - Faculté de marketing et d'agrosciences;Haut-Rhin;Grand-Est;Strasbourg;Colmar;Licence - Gestion - Parcours Marketing international;15;210;15;1;11.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Sciences de l'éducation et de la formation;95;1362;457;99;44.0
Université Le Havre Normandie;Seine-Maritime;Normandie;Normandie;Le Havre;Licence - Economie et gestion - Parcours Eco-Gestion Bilingue Anglais;30;360;111;28;45.0
Ecole supérieure d'art et de design TALM-Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Diplôme National d'Art;45;578;122;46;28.0
Lycée professionnel De L Estuaire;Gironde;Nouvelle Aquitaine;Bordeaux;Blaye;BTS - Production - Environnement nucléaire;15;233;74;17;47.0
Lycée Grand Air;Gironde;Nouvelle Aquitaine;Bordeaux;Arcachon;BTS - Services - Services informatiques aux organisations;16;206;77;16;56.0
Lycée professionnel Emile Combes;Gironde;Nouvelle Aquitaine;Bordeaux;Bègles;BTS - Services - Gestion des transports et logistique associée;35;340;145;27;58.0
Lycée de Borda;Landes;Nouvelle Aquitaine;Bordeaux;Dax;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;15;261;84;14;73.0
Université de Rennes (EPE);Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Portail Portail Economie gestion;505;3825;2779;496;97.0
Université de Rennes (EPE);Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Portail Informatique, sciences et technologies du numérique;251;1531;1226;212;94.0
IFMEM CHU BORDEAUX;Gironde;Nouvelle Aquitaine;Bordeaux;Pessac;D.E manipulateur/trice en électroradiologie médicale;43;846;220;39;26.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;C.M.I - Cursus Master en Ingénierie - Informatique - Cursus Master en ingénierie (CMI) Informatique et Simulation Numérique;17;176;30;4;27.0
Lycée Militaire de Saint-Cyr;Yvelines;Ile-de-France;Versailles;Saint-Cyr-l'Ecole;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - Internat obligatoire;80;889;203;72;27.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Double licence - Sciences de la terre / Langues, littératures et civilisations étrangères et régionales - Double licence Sciences de la terre - LLCER Japonais ou Chinois (ASTER);15;363;37;9;24.0
Ecole Nationale Supérieure d'Architecture de Paris-La Villette;Paris;Ile-de-France;Paris;Paris 19e  Arrondissement;Bicursus Architecture Ingénieur - EIVP;10;377;14;10;4.0
Université de Bourgogne - site de Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Dijon;Licence - Double diplôme - Licence Langues, littératures et civilisations étrangères et régionales - Parcours bidisciplinaire franco-allemand - spécialité allemand (mineure : Anglais ou Histoire ou Lettres ou Philosophie);30;45;26;2;70.0
Institut Supérieur de l'Enseignement Privé de Polynésie;Polynésie française;;Polynésie Française;Papeete;Licence - Sciences de l'éducation et de la formation;35;151;102;29;80.0
Université des Antilles - Pôle Guadeloupe (Saint-Claude);Guadeloupe;Guadeloupe;Guadeloupe;Saint-Claude;Licence - Humanités - Parcours Histoire et sciences sociales (option préparation IEP) - Saint-Claude - Guadeloupe;100;325;274;46;100.0
Université de Caen Normandie;Calvados;Normandie;Normandie;Caen;Licence - Lettres - Parcours Lettres modernes - Entièrement en distanciel;50;347;259;50;100.0
Université de Bourgogne - site de Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Dijon;Licence - Double diplôme - Licence Droit - Droit Cursus intégré franco-allemand;20;140;78;13;84.0
Lycée Vauban;Finistère;Bretagne;Rennes;Brest;BTS - Production - Motorisations toutes énergies - parcours Marine Nationale/Maistrance-Défense;4;77;11;4;17.0
Lycée Roland Garros;La Réunion;Réunion;La Réunion;Le Tampon;CPGE - PCSI;35;309;186;33;84.0
Lycée Stanislas;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Cannes;CPGE - B/L - Lettres et sciences sociales;36;669;288;25;83.0
Lycée Marguerite Jauzelon (ex Lycée Bellepierre);La Réunion;Réunion;La Réunion;Saint-Denis;CPGE - B/L - Lettres et sciences sociales;30;266;111;24;85.0
ISMANS CESI - Le Mans;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;Formation d'ingénieur Bac + 5 - Cycle préparatoire intégré;65;284;155;45;70.0
Lycée général et technologique Notre-Dame d'Espérance;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BTS - Services - Commerce International;18;293;127;14;75.0
Lycée Dumont D'Urville;Yvelines;Ile-de-France;Versailles;Maurepas;BTS - Services - Support à l'action managériale;18;251;118;17;56.0
Lycée professionnel Brossaud-Blancho;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;Certificat de Spécialisation - Technicien(ne) en soudage;10;37;19;6;67.0
Institut Catholique de Paris (ICP)- Campus de Paris;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Langues étrangères appliquées - Parcours Anglais-Espagnol;90;500;308;74;53.0
Lycée professionnel agricole La Gabillière;Indre-et-Loire;Centre;Orléans-Tours;Amboise;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;19;101;79;15;99.0
Lycée Blaise Pascal;Haut-Rhin;Grand-Est;Strasbourg;Colmar;BTS - Services - Economie sociale familiale;24;293;105;16;46.0
Lycée des Métiers Sainte Clotilde;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Services - Commerce International;27;370;140;27;39.0
Lycée Alfred Kastler;Haut-Rhin;Grand-Est;Strasbourg;Guebwiller;BTS - Services - Gestion de la PME;30;361;150;28;50.0
Lycée Catherine et Raymond JANOT;Yonne;Bourgogne-Franche-Comté;Dijon;Sens;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;8;41;28;6;94.0
IUT de Bordeaux - Antenne de Polynésie Française;Polynésie française;;Polynésie Française;Faaa;BUT - Gestion administrative et commerciale des organisations;29;192;67;32;45.0
Lycée Rosa Parks;Moselle;Grand-Est;Nancy-Metz;Thionville;BTS - Services - Service et prestation des secteurs sanitaire et social;24;199;98;21;67.0
Lycée Marcellin Berthelot;Morbihan;Bretagne;Rennes;Questembert;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;15;34;31;5;97.0
Lycée Saint Remi;Somme;Hauts-de-France;Amiens;Amiens;BTS - Services - Economie sociale familiale;35;285;120;26;60.0
Lycée Joseph-Marie Carriat;Ain;Auvergne-Rhône-Alpes;Lyon;Bourg-en-Bresse;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);13;141;75;11;82.0
Lycée Jean Zay;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Thiers;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;7;14;14;3;100.0
Lycée Joseph-Marie Carriat;Ain;Auvergne-Rhône-Alpes;Lyon;Bourg-en-Bresse;BTS - Services - Management Commercial Opérationnel;35;778;226;34;34.0
Lycée Hotellerie Et Tourisme d'Occitanie;Haute-Garonne;Occitanie;Toulouse;Toulouse;Certificat de Spécialisation - Accueil-réception;12;152;55;9;54.0
Lycée des Lumières;Mayotte;Mayotte;Mayotte;Mamoudzou;BTS - Services - Gestion de la PME;35;1585;111;34;14.0
Lycée agricole de la Bretonnière;Seine-et-Marne;Ile-de-France;Créteil;Chailly-en-Brie;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson;30;68;41;8;90.0
Lycée professionnel Clement Ader;Gers;Occitanie;Toulouse;Samatan;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);12;41;32;4;100.0
Lycée Louis Armand;Savoie;Auvergne-Rhône-Alpes;Grenoble;Chambéry;BTS - Production - Pilotage des procédés;15;77;46;15;71.0
Lycée Joliot Curie;Seine-et-Marne;Ile-de-France;Créteil;Dammarie-les-Lys;BTS - Services - Conseil et commercialisation de solutions techniques;24;279;110;22;46.0
Lycée professionnel De La Foret;Oise;Hauts-de-France;Amiens;Chantilly;Certificat de Spécialisation - Accueil dans les transports;15;114;39;5;54.0
Lycée professionnel de Faaa;Polynésie française;;Polynésie Française;Faaa;BTS - Services - Gestion de la PME;17;165;56;15;43.0
Lycée Arbez Carme;Ain;Auvergne-Rhône-Alpes;Lyon;Oyonnax;BTS - Production - Conception de produits industriels;17;108;65;11;83.0
Lycée Fenelon;Seine-Saint-Denis;Ile-de-France;Créteil;Vaujours;BTS - Services - Communication;24;318;91;9;34.0
Lycée Jean Perrin;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille 10e  Arrondissement;BTS - Production - Pilotage des procédés;16;128;54;10;58.0
Lycée Louis Marchal;Bas-Rhin;Grand-Est;Strasbourg;Molsheim;Certificat de Spécialisation - Technicien(ne) en soudage;12;55;24;9;59.0
Lycée Polyvalent La Chartreuse;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Brives-Charensac;Diplôme de Comptabilité et de Gestion;36;339;68;15;87.0
Lycée Ambroise Brugiere;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;CPGE - B/L - Lettres et sciences sociales;40;3991;427;35;91.0
Lycée Bel Orme;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BTS - Services - Commerce International;18;432;98;21;35.0
Université de Toulon;Var;Provence-Alpes-Côte d'Azur;Nice;La Garde;Licence - Informatique - Parcours Licence Informatique;96;774;551;95;76.0
Université de Toulon;Var;Provence-Alpes-Côte d'Azur;Nice;La Garde;Licence - Langues étrangères appliquées - Parcours Anglais / Italien;70;352;333;56;100.0
Lycée Albert EINSTEIN;Gard;Occitanie;Montpellier;Bagnols-sur-Cèze;BTS - Production - Bioqualité;15;117;68;9;85.0
Lycée Frederic Et Irene Joliot Curie;Aisne;Hauts-de-France;Amiens;Hirson;BTS - Services - Négociation et digitalisation de la Relation Client;35;154;78;23;82.0
Université Côte d'Azur;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;Double licence - Mathématiques / Physique - Double licence Mathématiques - Physique;35;1470;383;38;45.0
Université de la Réunion - Le Tampon;La Réunion;Réunion;La Réunion;Le Tampon;Licence - Portail Sciences pour la santé;270;863;834;144;100.0
I.U.T. Annecy;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BUT - Carrières sociales parcours coordination et gestion des établissements et services sanitaires et sociaux;60;403;233;61;75.0
Lycée agricole de Dunkerque-Rosendaël;Nord;Hauts-de-France;Lille;Dunkerque;BTS - Agricole - Aménagements paysagers;19;108;88;20;94.0
Lycée Henri Martin;Aisne;Hauts-de-France;Amiens;Saint-Quentin;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;15;365;108;13;41.0
Lycée Jean Mace;Val-de-Marne;Ile-de-France;Créteil;Vitry-sur-Seine;Certificat de Spécialisation - Technicien(ne) en soudage;7;49;16;3;32.0
Université de Poitiers;Vienne;Nouvelle Aquitaine;Poitiers;Poitiers;Double licence - Philosophie / Droit - Double mention  PHILOSOPHIE / DROIT;30;323;152;26;88.0
Lycée Condorcet;Aisne;Hauts-de-France;Amiens;Saint-Quentin;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;15;287;65;16;50.0
Université Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Double licence - Lettres / Histoire - Double licence Lettres - Histoire;30;440;162;21;56.0
Lycée Condorcet;Aisne;Hauts-de-France;Amiens;Saint-Quentin;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);15;40;31;6;97.0
Université de Poitiers;Vienne;Nouvelle Aquitaine;Poitiers;Poitiers;Licence - Economie et gestion;240;1915;1356;234;96.0
Lycée Rene Char;Vaucluse;Provence-Alpes-Côte d'Azur;Aix-Marseille;Avignon;BTS - Production - Métiers de la mode-vêtements;16;494;59;16;16.0
Aix-Marseille Université - Site d'Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Aix-en-Provence;DEUST - Formation de base aux métiers du théâtre;45;304;100;44;34.0
ICES - Institut Catholique de Vendée;Vendée;Pays-de-la-Loire;Nantes;La Roche-sur-Yon;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Espagnol;50;36;36;8;100.0
Université de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;Licence - Science politique;90;1705;498;88;32.0
Université de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;Licence - Langues étrangères appliquées - Parcours Langues étrangères appliquées, Traduction scientifique et technique, option Anglais  Allemand;20;135;113;18;96.0
Lycée Simone Weil;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Le Puy-en-Velay;BTS - Services - Banque;18;285;98;15;65.0
CNED;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 4e  Arrondissement;BTS - Services - Communication - Entièrement en distanciel;3200;1553;1552;355;100.0
CNED;Vienne;Nouvelle Aquitaine;Poitiers;Chasseneuil-du-Poitou;BTS - Services - Gestion de la PME - Entièrement en distanciel;1200;506;505;119;100.0
CNED;Vienne;Nouvelle Aquitaine;Poitiers;Chasseneuil-du-Poitou;BTS - Services - Assurance - Entièrement en distanciel;900;320;317;49;100.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;Licence - Histoire - Parcours Histoire-Lettres Classiques;40;216;186;19;100.0
Lycée professionnel Jean Moulin;Yvelines;Ile-de-France;Versailles;Le Chesnay-Rocquencourt;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;15;154;49;18;38.0
Lycée Saint Remy;Aisne;Hauts-de-France;Amiens;Soissons;BTS - Services - Assurance;18;67;43;8;82.0
